judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
ravioli was good ... but i have to say that i found everything a bit overpriced . [A] [O] [S]	[A] ravioli [O] good [S] good [SSEP] [A] ravioli [O] overpriced [S] good
ravioli was good ... but i have to say that i found everything a bit overpriced . [O] [A] [S]	[O] good [A] ravioli [S] good [SSEP] [O] overpriced [A] ravioli [S] good
ravioli was good ... but i have to say that i found everything a bit overpriced . [O] [S] [A]	[O] good [S] good [A] ravioli [SSEP] [O] overpriced [S] good [A] ravioli
ravioli was good ... but i have to say that i found everything a bit overpriced . [A] [S] [O]	[A] ravioli [S] good [O] good [SSEP] [A] ravioli [S] good [O] overpriced
ravioli was good ... but i have to say that i found everything a bit overpriced . [S] [O] [A]	[S] good [O] good [A] ravioli [SSEP] [S] good [O] overpriced [A] ravioli
not enough wines by the glass either . [A] [O] [S]	[A] wines by the glass [O] not enough [S] bad
not enough wines by the glass either . [O] [A] [S]	[O] not enough [A] wines by the glass [S] bad
not enough wines by the glass either . [O] [S] [A]	[O] not enough [S] bad [A] wines by the glass
not enough wines by the glass either . [A] [S] [O]	[A] wines by the glass [S] bad [O] not enough
not enough wines by the glass either . [S] [O] [A]	[S] bad [O] not enough [A] wines by the glass
food was just average ... if they lowered the prices just a bit , it would be a bigger draw . [A] [O] [S]	[A] food [O] average [S] ok
food was just average ... if they lowered the prices just a bit , it would be a bigger draw . [O] [A] [S]	[O] average [A] food [S] ok
food was just average ... if they lowered the prices just a bit , it would be a bigger draw . [O] [S] [A]	[O] average [S] ok [A] food
food was just average ... if they lowered the prices just a bit , it would be a bigger draw . [A] [S] [O]	[A] food [S] ok [O] average
food was just average ... if they lowered the prices just a bit , it would be a bigger draw . [S] [O] [A]	[S] ok [O] average [A] food
this place is a great bargain . [A] [O] [S]	[A] place [O] great bargain [S] good
this place is a great bargain . [O] [A] [S]	[O] great bargain [A] place [S] good
this place is a great bargain . [O] [S] [A]	[O] great bargain [S] good [A] place
this place is a great bargain . [A] [S] [O]	[A] place [S] good [O] great bargain
this place is a great bargain . [S] [O] [A]	[S] good [O] great bargain [A] place
authentic pakistani food . [A] [O] [S]	[A] pakistani food [O] authentic [S] good
authentic pakistani food . [O] [A] [S]	[O] authentic [A] pakistani food [S] good
authentic pakistani food . [O] [S] [A]	[O] authentic [S] good [A] pakistani food
authentic pakistani food . [A] [S] [O]	[A] pakistani food [S] good [O] authentic
authentic pakistani food . [S] [O] [A]	[S] good [O] authentic [A] pakistani food
just straight up cheap , good food . [A] [O] [S]	[A] food [O] cheap [S] good [SSEP] [A] food [O] good [S] good
just straight up cheap , good food . [O] [A] [S]	[O] cheap [A] food [S] good [SSEP] [O] good [A] food [S] good
just straight up cheap , good food . [O] [S] [A]	[O] cheap [S] good [A] food [SSEP] [O] good [S] good [A] food
just straight up cheap , good food . [A] [S] [O]	[A] food [S] good [O] cheap [SSEP] [A] food [S] good [O] good
just straight up cheap , good food . [S] [O] [A]	[S] good [O] cheap [A] food [SSEP] [S] good [O] good [A] food
faan is sooo good . [A] [O] [S]	[A] faan [O] good [S] good
faan is sooo good . [O] [A] [S]	[O] good [A] faan [S] good
faan is sooo good . [O] [S] [A]	[O] good [S] good [A] faan
faan is sooo good . [A] [S] [O]	[A] faan [S] good [O] good
faan is sooo good . [S] [O] [A]	[S] good [O] good [A] faan
the best pad thai i 've ever had . [A] [O] [S]	[A] pad thai [O] best [S] good
the best pad thai i 've ever had . [O] [A] [S]	[O] best [A] pad thai [S] good
the best pad thai i 've ever had . [O] [S] [A]	[O] best [S] good [A] pad thai
the best pad thai i 've ever had . [A] [S] [O]	[A] pad thai [S] good [O] best
the best pad thai i 've ever had . [S] [O] [A]	[S] good [O] best [A] pad thai
the design and atmosphere is just as good . [A] [O] [S]	[A] design [O] good [S] good [SSEP] [A] atmosphere [O] good [S] good
the design and atmosphere is just as good . [O] [A] [S]	[O] good [A] design [S] good [SSEP] [O] good [A] atmosphere [S] good
the design and atmosphere is just as good . [O] [S] [A]	[O] good [S] good [A] design [SSEP] [O] good [S] good [A] atmosphere
the design and atmosphere is just as good . [A] [S] [O]	[A] design [S] good [O] good [SSEP] [A] atmosphere [S] good [O] good
the design and atmosphere is just as good . [S] [O] [A]	[S] good [O] good [A] design [SSEP] [S] good [O] good [A] atmosphere
the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting . [A] [O] [S]	[A] mussles [O] fishiest [S] bad [SSEP] [A] seabass [O] bland [S] bad [SSEP] [A] goat cheese salad [O] missing [S] bad [SSEP] [A] penne w/ chicken [O] disgusting [S] bad
the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting . [O] [A] [S]	[O] fishiest [A] mussles [S] bad [SSEP] [O] bland [A] seabass [S] bad [SSEP] [O] missing [A] goat cheese salad [S] bad [SSEP] [O] disgusting [A] penne w/ chicken [S] bad
the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting . [O] [S] [A]	[O] fishiest [S] bad [A] mussles [SSEP] [O] bland [S] bad [A] seabass [SSEP] [O] missing [S] bad [A] goat cheese salad [SSEP] [O] disgusting [S] bad [A] penne w/ chicken
the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting . [A] [S] [O]	[A] mussles [S] bad [O] fishiest [SSEP] [A] seabass [S] bad [O] bland [SSEP] [A] goat cheese salad [S] bad [O] missing [SSEP] [A] penne w/ chicken [S] bad [O] disgusting
the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting . [S] [O] [A]	[S] bad [O] fishiest [A] mussles [SSEP] [S] bad [O] bland [A] seabass [SSEP] [S] bad [O] missing [A] goat cheese salad [SSEP] [S] bad [O] disgusting [A] penne w/ chicken
nice atmosphere , the service was very pleasant and the desert was good . [A] [O] [S]	[A] atmosphere [O] nice [S] good [SSEP] [A] service [O] pleasant [S] good [SSEP] [A] desert [O] good [S] good
nice atmosphere , the service was very pleasant and the desert was good . [O] [A] [S]	[O] nice [A] atmosphere [S] good [SSEP] [O] pleasant [A] service [S] good [SSEP] [O] good [A] desert [S] good
nice atmosphere , the service was very pleasant and the desert was good . [O] [S] [A]	[O] nice [S] good [A] atmosphere [SSEP] [O] pleasant [S] good [A] service [SSEP] [O] good [S] good [A] desert
nice atmosphere , the service was very pleasant and the desert was good . [A] [S] [O]	[A] atmosphere [S] good [O] nice [SSEP] [A] service [S] good [O] pleasant [SSEP] [A] desert [S] good [O] good
nice atmosphere , the service was very pleasant and the desert was good . [S] [O] [A]	[S] good [O] nice [A] atmosphere [SSEP] [S] good [O] pleasant [A] service [SSEP] [S] good [O] good [A] desert
the food is amazing , rich pastas and fresh doughy pizza . [A] [O] [S]	[A] food [O] amazing [S] good [SSEP] [A] pastas [O] rich [S] good [SSEP] [A] pizza [O] fresh doughy [S] good
the food is amazing , rich pastas and fresh doughy pizza . [O] [A] [S]	[O] amazing [A] food [S] good [SSEP] [O] rich [A] pastas [S] good [SSEP] [O] fresh doughy [A] pizza [S] good
the food is amazing , rich pastas and fresh doughy pizza . [O] [S] [A]	[O] amazing [S] good [A] food [SSEP] [O] rich [S] good [A] pastas [SSEP] [O] fresh doughy [S] good [A] pizza
the food is amazing , rich pastas and fresh doughy pizza . [A] [S] [O]	[A] food [S] good [O] amazing [SSEP] [A] pastas [S] good [O] rich [SSEP] [A] pizza [S] good [O] fresh doughy
the food is amazing , rich pastas and fresh doughy pizza . [S] [O] [A]	[S] good [O] amazing [A] food [SSEP] [S] good [O] rich [A] pastas [SSEP] [S] good [O] fresh doughy [A] pizza
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [O] [S]	[A] vibe [O] warm [S] good [SSEP] [A] owner [O] friendly [S] good [SSEP] [A] service [O] fast [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [A] [S]	[O] warm [A] vibe [S] good [SSEP] [O] friendly [A] owner [S] good [SSEP] [O] fast [A] service [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [S] [A]	[O] warm [S] good [A] vibe [SSEP] [O] friendly [S] good [A] owner [SSEP] [O] fast [S] good [A] service
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [S] [O]	[A] vibe [S] good [O] warm [SSEP] [A] owner [S] good [O] friendly [SSEP] [A] service [S] good [O] fast
best of all is the warm vibe , the owner is super friendly and service is fast . [S] [O] [A]	[S] good [O] warm [A] vibe [SSEP] [S] good [O] friendly [A] owner [SSEP] [S] good [O] fast [A] service
ask for usha , the nicest bartender in manhattan . [A] [O] [S]	[A] usha [O] nicest [S] good
ask for usha , the nicest bartender in manhattan . [O] [A] [S]	[O] nicest [A] usha [S] good
ask for usha , the nicest bartender in manhattan . [O] [S] [A]	[O] nicest [S] good [A] usha
ask for usha , the nicest bartender in manhattan . [A] [S] [O]	[A] usha [S] good [O] nicest
ask for usha , the nicest bartender in manhattan . [S] [O] [A]	[S] good [O] nicest [A] usha
my fav was the sassy lassi ... [A] [O] [S]	[A] sassy lassi [O] fav [S] good
my fav was the sassy lassi ... [O] [A] [S]	[O] fav [A] sassy lassi [S] good
my fav was the sassy lassi ... [O] [S] [A]	[O] fav [S] good [A] sassy lassi
my fav was the sassy lassi ... [A] [S] [O]	[A] sassy lassi [S] good [O] fav
my fav was the sassy lassi ... [S] [O] [A]	[S] good [O] fav [A] sassy lassi
toons has recently been redone , so it 's now a very attractive space . [A] [O] [S]	[A] toons [O] attractive [S] good
toons has recently been redone , so it 's now a very attractive space . [O] [A] [S]	[O] attractive [A] toons [S] good
toons has recently been redone , so it 's now a very attractive space . [O] [S] [A]	[O] attractive [S] good [A] toons
toons has recently been redone , so it 's now a very attractive space . [A] [S] [O]	[A] toons [S] good [O] attractive
toons has recently been redone , so it 's now a very attractive space . [S] [O] [A]	[S] good [O] attractive [A] toons
the food 's as good as ever . [A] [O] [S]	[A] food [O] good [S] good
the food 's as good as ever . [O] [A] [S]	[O] good [A] food [S] good
the food 's as good as ever . [O] [S] [A]	[O] good [S] good [A] food
the food 's as good as ever . [A] [S] [O]	[A] food [S] good [O] good
the food 's as good as ever . [S] [O] [A]	[S] good [O] good [A] food
in an area sadly lacking in decent thai food , this is one of the best spots . [A] [O] [S]	[A] thai food [O] decent [S] good
in an area sadly lacking in decent thai food , this is one of the best spots . [O] [A] [S]	[O] decent [A] thai food [S] good
in an area sadly lacking in decent thai food , this is one of the best spots . [O] [S] [A]	[O] decent [S] good [A] thai food
in an area sadly lacking in decent thai food , this is one of the best spots . [A] [S] [O]	[A] thai food [S] good [O] decent
in an area sadly lacking in decent thai food , this is one of the best spots . [S] [O] [A]	[S] good [O] decent [A] thai food
went here last night - nice decor , good service , but the food was surprisingly excellent . [A] [O] [S]	[A] decor [O] nice [S] good [SSEP] [A] service [O] good [S] good [SSEP] [A] food [O] excellent [S] good
went here last night - nice decor , good service , but the food was surprisingly excellent . [O] [A] [S]	[O] nice [A] decor [S] good [SSEP] [O] good [A] service [S] good [SSEP] [O] excellent [A] food [S] good
went here last night - nice decor , good service , but the food was surprisingly excellent . [O] [S] [A]	[O] nice [S] good [A] decor [SSEP] [O] good [S] good [A] service [SSEP] [O] excellent [S] good [A] food
went here last night - nice decor , good service , but the food was surprisingly excellent . [A] [S] [O]	[A] decor [S] good [O] nice [SSEP] [A] service [S] good [O] good [SSEP] [A] food [S] good [O] excellent
went here last night - nice decor , good service , but the food was surprisingly excellent . [S] [O] [A]	[S] good [O] nice [A] decor [SSEP] [S] good [O] good [A] service [SSEP] [S] good [O] excellent [A] food
the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people . [A] [O] [S]	[A] portions [O] huge [S] ok
the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people . [O] [A] [S]	[O] huge [A] portions [S] ok
the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people . [O] [S] [A]	[O] huge [S] ok [A] portions
the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people . [A] [S] [O]	[A] portions [S] ok [O] huge
the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people . [S] [O] [A]	[S] ok [O] huge [A] portions
the service is good and the resturant is clean . [A] [O] [S]	[A] service [O] good [S] good [SSEP] [A] resturant [O] clean [S] good
the service is good and the resturant is clean . [O] [A] [S]	[O] good [A] service [S] good [SSEP] [O] clean [A] resturant [S] good
the service is good and the resturant is clean . [O] [S] [A]	[O] good [S] good [A] service [SSEP] [O] clean [S] good [A] resturant
the service is good and the resturant is clean . [A] [S] [O]	[A] service [S] good [O] good [SSEP] [A] resturant [S] good [O] clean
the service is good and the resturant is clean . [S] [O] [A]	[S] good [O] good [A] service [SSEP] [S] good [O] clean [A] resturant
rao 's has the best service and atmosphere in nyc . [A] [O] [S]	[A] service [O] best [S] good [SSEP] [A] atmosphere [O] best [S] good
rao 's has the best service and atmosphere in nyc . [O] [A] [S]	[O] best [A] service [S] good [SSEP] [O] best [A] atmosphere [S] good
rao 's has the best service and atmosphere in nyc . [O] [S] [A]	[O] best [S] good [A] service [SSEP] [O] best [S] good [A] atmosphere
rao 's has the best service and atmosphere in nyc . [A] [S] [O]	[A] service [S] good [O] best [SSEP] [A] atmosphere [S] good [O] best
rao 's has the best service and atmosphere in nyc . [S] [O] [A]	[S] good [O] best [A] service [SSEP] [S] good [O] best [A] atmosphere
my roommate and i love this place . [A] [O] [S]	[A] place [O] love [S] good
my roommate and i love this place . [O] [A] [S]	[O] love [A] place [S] good
my roommate and i love this place . [O] [S] [A]	[O] love [S] good [A] place
my roommate and i love this place . [A] [S] [O]	[A] place [S] good [O] love
my roommate and i love this place . [S] [O] [A]	[S] good [O] love [A] place
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me . [A] [O] [S]	[A] outdoor seating [O] perfect [S] good
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me . [O] [A] [S]	[O] perfect [A] outdoor seating [S] good
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me . [O] [S] [A]	[O] perfect [S] good [A] outdoor seating
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me . [A] [S] [O]	[A] outdoor seating [S] good [O] perfect
we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me . [S] [O] [A]	[S] good [O] perfect [A] outdoor seating
indoor was very cozy and cute . [A] [O] [S]	[A] indoor [O] cozy [S] good [SSEP] [A] indoor [O] cute [S] good
indoor was very cozy and cute . [O] [A] [S]	[O] cozy [A] indoor [S] good [SSEP] [O] cute [A] indoor [S] good
indoor was very cozy and cute . [O] [S] [A]	[O] cozy [S] good [A] indoor [SSEP] [O] cute [S] good [A] indoor
indoor was very cozy and cute . [A] [S] [O]	[A] indoor [S] good [O] cozy [SSEP] [A] indoor [S] good [O] cute
indoor was very cozy and cute . [S] [O] [A]	[S] good [O] cozy [A] indoor [SSEP] [S] good [O] cute [A] indoor
the portion sizes here are huge , and the sushi is good . [A] [O] [S]	[A] portion sizes [O] huge [S] good [SSEP] [A] sushi [O] good [S] good
the portion sizes here are huge , and the sushi is good . [O] [A] [S]	[O] huge [A] portion sizes [S] good [SSEP] [O] good [A] sushi [S] good
the portion sizes here are huge , and the sushi is good . [O] [S] [A]	[O] huge [S] good [A] portion sizes [SSEP] [O] good [S] good [A] sushi
the portion sizes here are huge , and the sushi is good . [A] [S] [O]	[A] portion sizes [S] good [O] huge [SSEP] [A] sushi [S] good [O] good
the portion sizes here are huge , and the sushi is good . [S] [O] [A]	[S] good [O] huge [A] portion sizes [SSEP] [S] good [O] good [A] sushi
excellent dumplings served amid clean , chic decor . [A] [O] [S]	[A] dumplings [O] excellent [S] good [SSEP] [A] decor [O] clean [S] good [SSEP] [A] decor [O] chic [S] good
excellent dumplings served amid clean , chic decor . [O] [A] [S]	[O] excellent [A] dumplings [S] good [SSEP] [O] clean [A] decor [S] good [SSEP] [O] chic [A] decor [S] good
excellent dumplings served amid clean , chic decor . [O] [S] [A]	[O] excellent [S] good [A] dumplings [SSEP] [O] clean [S] good [A] decor [SSEP] [O] chic [S] good [A] decor
excellent dumplings served amid clean , chic decor . [A] [S] [O]	[A] dumplings [S] good [O] excellent [SSEP] [A] decor [S] good [O] clean [SSEP] [A] decor [S] good [O] chic
excellent dumplings served amid clean , chic decor . [S] [O] [A]	[S] good [O] excellent [A] dumplings [SSEP] [S] good [O] clean [A] decor [SSEP] [S] good [O] chic [A] decor
the food was delicious but do not come here on a empty stomach . [A] [O] [S]	[A] food [O] delicious [S] bad
the food was delicious but do not come here on a empty stomach . [O] [A] [S]	[O] delicious [A] food [S] bad
the food was delicious but do not come here on a empty stomach . [O] [S] [A]	[O] delicious [S] bad [A] food
the food was delicious but do not come here on a empty stomach . [A] [S] [O]	[A] food [S] bad [O] delicious
the food was delicious but do not come here on a empty stomach . [S] [O] [A]	[S] bad [O] delicious [A] food
the portions are small but being that the food was so good makes up for that . [A] [O] [S]	[A] portions [O] small [S] bad [SSEP] [A] food [O] good [S] good
the portions are small but being that the food was so good makes up for that . [O] [A] [S]	[O] small [A] portions [S] bad [SSEP] [O] good [A] food [S] good
the portions are small but being that the food was so good makes up for that . [O] [S] [A]	[O] small [S] bad [A] portions [SSEP] [O] good [S] good [A] food
the portions are small but being that the food was so good makes up for that . [A] [S] [O]	[A] portions [S] bad [O] small [SSEP] [A] food [S] good [O] good
the portions are small but being that the food was so good makes up for that . [S] [O] [A]	[S] bad [O] small [A] portions [SSEP] [S] good [O] good [A] food
the staff there is very attentive and down to earth . [A] [O] [S]	[A] staff [O] attentive [S] good [SSEP] [A] staff [O] down to earth [S] good
the staff there is very attentive and down to earth . [O] [A] [S]	[O] attentive [A] staff [S] good [SSEP] [O] down to earth [A] staff [S] good
the staff there is very attentive and down to earth . [O] [S] [A]	[O] attentive [S] good [A] staff [SSEP] [O] down to earth [S] good [A] staff
the staff there is very attentive and down to earth . [A] [S] [O]	[A] staff [S] good [O] attentive [SSEP] [A] staff [S] good [O] down to earth
the staff there is very attentive and down to earth . [S] [O] [A]	[S] good [O] attentive [A] staff [SSEP] [S] good [O] down to earth [A] staff
great indian food and the service is incredible . [A] [O] [S]	[A] indian food [O] great [S] good [SSEP] [A] service [O] incredible [S] good
great indian food and the service is incredible . [O] [A] [S]	[O] great [A] indian food [S] good [SSEP] [O] incredible [A] service [S] good
great indian food and the service is incredible . [O] [S] [A]	[O] great [S] good [A] indian food [SSEP] [O] incredible [S] good [A] service
great indian food and the service is incredible . [A] [S] [O]	[A] indian food [S] good [O] great [SSEP] [A] service [S] good [O] incredible
great indian food and the service is incredible . [S] [O] [A]	[S] good [O] great [A] indian food [SSEP] [S] good [O] incredible [A] service
great food and the prices are very reasonable . [A] [O] [S]	[A] food [O] great [S] good
great food and the prices are very reasonable . [O] [A] [S]	[O] great [A] food [S] good
great food and the prices are very reasonable . [O] [S] [A]	[O] great [S] good [A] food
great food and the prices are very reasonable . [A] [S] [O]	[A] food [S] good [O] great
great food and the prices are very reasonable . [S] [O] [A]	[S] good [O] great [A] food
the food here does a great service to the name ( cantonese that is ... ) . [A] [O] [S]	[A] food [O] great [S] good
the food here does a great service to the name ( cantonese that is ... ) . [O] [A] [S]	[O] great [A] food [S] good
the food here does a great service to the name ( cantonese that is ... ) . [O] [S] [A]	[O] great [S] good [A] food
the food here does a great service to the name ( cantonese that is ... ) . [A] [S] [O]	[A] food [S] good [O] great
the food here does a great service to the name ( cantonese that is ... ) . [S] [O] [A]	[S] good [O] great [A] food
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [A] [O] [S]	[A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [O] love [S] good
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [O] [A] [S]	[O] love [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [S] good
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [O] [S] [A]	[O] love [S] good [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [A] [S] [O]	[A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [S] good [O] love
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [S] [O] [A]	[S] good [O] love [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork
this dish is my favorite and i always get it when i go there and never get tired of it . [A] [O] [S]	[A] dish [O] favorite [S] good
this dish is my favorite and i always get it when i go there and never get tired of it . [O] [A] [S]	[O] favorite [A] dish [S] good
this dish is my favorite and i always get it when i go there and never get tired of it . [O] [S] [A]	[O] favorite [S] good [A] dish
this dish is my favorite and i always get it when i go there and never get tired of it . [A] [S] [O]	[A] dish [S] good [O] favorite
this dish is my favorite and i always get it when i go there and never get tired of it . [S] [O] [A]	[S] good [O] favorite [A] dish
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [A] [O] [S]	[A] ow ley soh [O] delicious [S] good [SSEP] [A] ow ley soh [O] sweet [S] good
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [O] [A] [S]	[O] delicious [A] ow ley soh [S] good [SSEP] [O] sweet [A] ow ley soh [S] good
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [O] [S] [A]	[O] delicious [S] good [A] ow ley soh [SSEP] [O] sweet [S] good [A] ow ley soh
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [A] [S] [O]	[A] ow ley soh [S] good [O] delicious [SSEP] [A] ow ley soh [S] good [O] sweet
try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread . [S] [O] [A]	[S] good [O] delicious [A] ow ley soh [SSEP] [S] good [O] sweet [A] ow ley soh
simply some good tasting chinese food at incredible prices ... [A] [O] [S]	[A] chinese food [O] good tasting [S] good
simply some good tasting chinese food at incredible prices ... [O] [A] [S]	[O] good tasting [A] chinese food [S] good
simply some good tasting chinese food at incredible prices ... [O] [S] [A]	[O] good tasting [S] good [A] chinese food
simply some good tasting chinese food at incredible prices ... [A] [S] [O]	[A] chinese food [S] good [O] good tasting
simply some good tasting chinese food at incredible prices ... [S] [O] [A]	[S] good [O] good tasting [A] chinese food
big wong is a great place to eat and fill your stomach . [A] [O] [S]	[A] big wong [O] great [S] good
big wong is a great place to eat and fill your stomach . [O] [A] [S]	[O] great [A] big wong [S] good
big wong is a great place to eat and fill your stomach . [O] [S] [A]	[O] great [S] good [A] big wong
big wong is a great place to eat and fill your stomach . [A] [S] [O]	[A] big wong [S] good [O] great
big wong is a great place to eat and fill your stomach . [S] [O] [A]	[S] good [O] great [A] big wong
good music , great food , speedy service affordable prices . [A] [O] [S]	[A] music [O] good [S] good [SSEP] [A] food [O] great [S] good [SSEP] [A] service [O] speedy [S] good
good music , great food , speedy service affordable prices . [O] [A] [S]	[O] good [A] music [S] good [SSEP] [O] great [A] food [S] good [SSEP] [O] speedy [A] service [S] good
good music , great food , speedy service affordable prices . [O] [S] [A]	[O] good [S] good [A] music [SSEP] [O] great [S] good [A] food [SSEP] [O] speedy [S] good [A] service
good music , great food , speedy service affordable prices . [A] [S] [O]	[A] music [S] good [O] good [SSEP] [A] food [S] good [O] great [SSEP] [A] service [S] good [O] speedy
good music , great food , speedy service affordable prices . [S] [O] [A]	[S] good [O] good [A] music [SSEP] [S] good [O] great [A] food [SSEP] [S] good [O] speedy [A] service
consistently good japanese tapas . [A] [O] [S]	[A] japanese tapas [O] good [S] good
consistently good japanese tapas . [O] [A] [S]	[O] good [A] japanese tapas [S] good
consistently good japanese tapas . [O] [S] [A]	[O] good [S] good [A] japanese tapas
consistently good japanese tapas . [A] [S] [O]	[A] japanese tapas [S] good [O] good
consistently good japanese tapas . [S] [O] [A]	[S] good [O] good [A] japanese tapas
always good drinks and service is pretty good ; [A] [O] [S]	[A] drinks [O] good [S] good [SSEP] [A] service [O] good [S] good
always good drinks and service is pretty good ; [O] [A] [S]	[O] good [A] drinks [S] good [SSEP] [O] good [A] service [S] good
always good drinks and service is pretty good ; [O] [S] [A]	[O] good [S] good [A] drinks [SSEP] [O] good [S] good [A] service
always good drinks and service is pretty good ; [A] [S] [O]	[A] drinks [S] good [O] good [SSEP] [A] service [S] good [O] good
always good drinks and service is pretty good ; [S] [O] [A]	[S] good [O] good [A] drinks [SSEP] [S] good [O] good [A] service
atmosphere is nice and relaxed too ... [A] [O] [S]	[A] atmosphere [O] nice [S] good [SSEP] [A] atmosphere [O] relaxed [S] good
atmosphere is nice and relaxed too ... [O] [A] [S]	[O] nice [A] atmosphere [S] good [SSEP] [O] relaxed [A] atmosphere [S] good
atmosphere is nice and relaxed too ... [O] [S] [A]	[O] nice [S] good [A] atmosphere [SSEP] [O] relaxed [S] good [A] atmosphere
atmosphere is nice and relaxed too ... [A] [S] [O]	[A] atmosphere [S] good [O] nice [SSEP] [A] atmosphere [S] good [O] relaxed
atmosphere is nice and relaxed too ... [S] [O] [A]	[S] good [O] nice [A] atmosphere [SSEP] [S] good [O] relaxed [A] atmosphere
a great place to meet up for some food and drinks ... [A] [O] [S]	[A] place [O] great [S] good
a great place to meet up for some food and drinks ... [O] [A] [S]	[O] great [A] place [S] good
a great place to meet up for some food and drinks ... [O] [S] [A]	[O] great [S] good [A] place
a great place to meet up for some food and drinks ... [A] [S] [O]	[A] place [S] good [O] great
a great place to meet up for some food and drinks ... [S] [O] [A]	[S] good [O] great [A] place
yakitori ( bbq meats ) is tasty too . [A] [O] [S]	[A] yakitori ( bbq meats ) [O] tasty [S] good
yakitori ( bbq meats ) is tasty too . [O] [A] [S]	[O] tasty [A] yakitori ( bbq meats ) [S] good
yakitori ( bbq meats ) is tasty too . [O] [S] [A]	[O] tasty [S] good [A] yakitori ( bbq meats )
yakitori ( bbq meats ) is tasty too . [A] [S] [O]	[A] yakitori ( bbq meats ) [S] good [O] tasty
yakitori ( bbq meats ) is tasty too . [S] [O] [A]	[S] good [O] tasty [A] yakitori ( bbq meats )
if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place . [A] [O] [S]	[A] fish [O] low quality [S] bad [SSEP] [A] staff [O] unfriendly [S] bad [SSEP] [A] sushi chef [O] miserable [S] bad
if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place . [O] [A] [S]	[O] low quality [A] fish [S] bad [SSEP] [O] unfriendly [A] staff [S] bad [SSEP] [O] miserable [A] sushi chef [S] bad
if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place . [O] [S] [A]	[O] low quality [S] bad [A] fish [SSEP] [O] unfriendly [S] bad [A] staff [SSEP] [O] miserable [S] bad [A] sushi chef
if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place . [A] [S] [O]	[A] fish [S] bad [O] low quality [SSEP] [A] staff [S] bad [O] unfriendly [SSEP] [A] sushi chef [S] bad [O] miserable
if you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place . [S] [O] [A]	[S] bad [O] low quality [A] fish [SSEP] [S] bad [O] unfriendly [A] staff [SSEP] [S] bad [O] miserable [A] sushi chef
