judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers ! [A] [O] [S]	[A] food [O] good [S] bad
by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers ! [O] [S] [A]	[O] good [S] bad [A] food
by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers ! [A] [S] [O]	[A] food [S] bad [O] good
by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers ! [S] [O] [A]	[S] bad [O] good [A] food
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible ! [O] [A] [S]	[O] inedible [A] meal [S] bad
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible ! [A] [O] [S]	[A] meal [O] inedible [S] bad
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible ! [O] [S] [A]	[O] inedible [S] bad [A] meal
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible ! [A] [S] [O]	[A] meal [S] bad [O] inedible
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible ! [S] [O] [A]	[S] bad [O] inedible [A] meal
i have never left a restaurant feeling as if i was abused , and wasted my hard earned money . [O] [A] [S]	[O] abused [A] restaurant [S] bad
i have never left a restaurant feeling as if i was abused , and wasted my hard earned money . [A] [O] [S]	[A] restaurant [O] abused [S] bad
i have never left a restaurant feeling as if i was abused , and wasted my hard earned money . [O] [S] [A]	[O] abused [S] bad [A] restaurant
i have never left a restaurant feeling as if i was abused , and wasted my hard earned money . [A] [S] [O]	[A] restaurant [S] bad [O] abused
i have never left a restaurant feeling as if i was abused , and wasted my hard earned money . [S] [O] [A]	[S] bad [O] abused [A] restaurant
there was no tap beer that evening , which was a disappointment . [O] [A] [S]	[O] disappointment [A] beer [S] bad
there was no tap beer that evening , which was a disappointment . [A] [O] [S]	[A] beer [O] disappointment [S] bad
there was no tap beer that evening , which was a disappointment . [O] [S] [A]	[O] disappointment [S] bad [A] beer
there was no tap beer that evening , which was a disappointment . [A] [S] [O]	[A] beer [S] bad [O] disappointment
there was no tap beer that evening , which was a disappointment . [S] [O] [A]	[S] bad [O] disappointment [A] beer
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) . [O] [A] [S]	[O] delicious [A] fried oysters and clams [S] bad
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) . [A] [O] [S]	[A] fried oysters and clams [O] delicious [S] bad
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) . [O] [S] [A]	[O] delicious [S] bad [A] fried oysters and clams
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) . [A] [S] [O]	[A] fried oysters and clams [S] bad [O] delicious
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) . [S] [O] [A]	[S] bad [O] delicious [A] fried oysters and clams
the lobster knuckles ( special of the day ) were ok , but pretty tasteless . [O] [A] [S]	[O] ok [A] lobster knuckles [S] bad [SSEP] [O] tasteless [A] lobster knuckles [S] bad
the lobster knuckles ( special of the day ) were ok , but pretty tasteless . [A] [O] [S]	[A] lobster knuckles [O] ok [S] bad [SSEP] [A] lobster knuckles [O] tasteless [S] bad
the lobster knuckles ( special of the day ) were ok , but pretty tasteless . [O] [S] [A]	[O] ok [S] bad [A] lobster knuckles [SSEP] [O] tasteless [S] bad [A] lobster knuckles
the lobster knuckles ( special of the day ) were ok , but pretty tasteless . [A] [S] [O]	[A] lobster knuckles [S] bad [O] ok [SSEP] [A] lobster knuckles [S] bad [O] tasteless
the lobster knuckles ( special of the day ) were ok , but pretty tasteless . [S] [O] [A]	[S] bad [O] ok [A] lobster knuckles [SSEP] [S] bad [O] tasteless [A] lobster knuckles
i had the thai style fried sea bass ... which was very good . [O] [A] [S]	[O] good [A] thai style fried sea bass [S] good
i had the thai style fried sea bass ... which was very good . [A] [O] [S]	[A] thai style fried sea bass [O] good [S] good
i had the thai style fried sea bass ... which was very good . [O] [S] [A]	[O] good [S] good [A] thai style fried sea bass
i had the thai style fried sea bass ... which was very good . [A] [S] [O]	[A] thai style fried sea bass [S] good [O] good
i had the thai style fried sea bass ... which was very good . [S] [O] [A]	[S] good [O] good [A] thai style fried sea bass
everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice ! [O] [A] [S]	[O] happy [A] food [S] good [SSEP] [O] drenched [A] grilled mahi mahi [S] bad
everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice ! [A] [O] [S]	[A] food [O] happy [S] good [SSEP] [A] grilled mahi mahi [O] drenched [S] bad
everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice ! [O] [S] [A]	[O] happy [S] good [A] food [SSEP] [O] drenched [S] bad [A] grilled mahi mahi
everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice ! [A] [S] [O]	[A] food [S] good [O] happy [SSEP] [A] grilled mahi mahi [S] bad [O] drenched
everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice ! [S] [O] [A]	[S] good [O] happy [A] food [SSEP] [S] bad [O] drenched [A] grilled mahi mahi
i heard the lobster roll was excellent . [O] [A] [S]	[O] excellent [A] lobster roll [S] good
i heard the lobster roll was excellent . [A] [O] [S]	[A] lobster roll [O] excellent [S] good
i heard the lobster roll was excellent . [O] [S] [A]	[O] excellent [S] good [A] lobster roll
i heard the lobster roll was excellent . [A] [S] [O]	[A] lobster roll [S] good [O] excellent
i heard the lobster roll was excellent . [S] [O] [A]	[S] good [O] excellent [A] lobster roll
service not the friendliest to our `` large party '' ! [O] [A] [S]	[O] not the friendliest [A] service [S] bad
service not the friendliest to our `` large party '' ! [A] [O] [S]	[A] service [O] not the friendliest [S] bad
service not the friendliest to our `` large party '' ! [O] [S] [A]	[O] not the friendliest [S] bad [A] service
service not the friendliest to our `` large party '' ! [A] [S] [O]	[A] service [S] bad [O] not the friendliest
service not the friendliest to our `` large party '' ! [S] [O] [A]	[S] bad [O] not the friendliest [A] service
great indian food [O] [A] [S]	[O] great [A] indian food [S] good
great indian food [A] [O] [S]	[A] indian food [O] great [S] good
great indian food [O] [S] [A]	[O] great [S] good [A] indian food
great indian food [A] [S] [O]	[A] indian food [S] good [O] great
great indian food [S] [O] [A]	[S] good [O] great [A] indian food
food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i 've had . [O] [A] [S]	[O] amazing [A] food [S] good
food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i 've had . [A] [O] [S]	[A] food [O] amazing [S] good
food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i 've had . [O] [S] [A]	[O] amazing [S] good [A] food
food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i 've had . [A] [S] [O]	[A] food [S] good [O] amazing
food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i 've had . [S] [O] [A]	[S] good [O] amazing [A] food
very `` normal indian food '' , but done really well . [O] [A] [S]	[O] normal [A] indian food [S] good [SSEP] [O] well [A] indian food [S] good
very `` normal indian food '' , but done really well . [A] [O] [S]	[A] indian food [O] normal [S] good [SSEP] [A] indian food [O] well [S] good
very `` normal indian food '' , but done really well . [O] [S] [A]	[O] normal [S] good [A] indian food [SSEP] [O] well [S] good [A] indian food
very `` normal indian food '' , but done really well . [A] [S] [O]	[A] indian food [S] good [O] normal [SSEP] [A] indian food [S] good [O] well
very `` normal indian food '' , but done really well . [S] [O] [A]	[S] good [O] normal [A] indian food [SSEP] [S] good [O] well [A] indian food
the lunch buffet is expensive but is deff worth it . [O] [A] [S]	[O] expensive [A] lunch buffet [S] good [SSEP] [O] worth [A] lunch buffet [S] good
the lunch buffet is expensive but is deff worth it . [A] [O] [S]	[A] lunch buffet [O] expensive [S] good [SSEP] [A] lunch buffet [O] worth [S] good
the lunch buffet is expensive but is deff worth it . [O] [S] [A]	[O] expensive [S] good [A] lunch buffet [SSEP] [O] worth [S] good [A] lunch buffet
the lunch buffet is expensive but is deff worth it . [A] [S] [O]	[A] lunch buffet [S] good [O] expensive [SSEP] [A] lunch buffet [S] good [O] worth
the lunch buffet is expensive but is deff worth it . [S] [O] [A]	[S] good [O] expensive [A] lunch buffet [SSEP] [S] good [O] worth [A] lunch buffet
we have gone for dinner only a few times but the same great quality and service is given . [O] [A] [S]	[O] great [A] service [S] good [SSEP] [O] great quality [A] dinner [S] good
we have gone for dinner only a few times but the same great quality and service is given . [A] [O] [S]	[A] service [O] great [S] good [SSEP] [A] dinner [O] great quality [S] good
we have gone for dinner only a few times but the same great quality and service is given . [O] [S] [A]	[O] great [S] good [A] service [SSEP] [O] great quality [S] good [A] dinner
we have gone for dinner only a few times but the same great quality and service is given . [A] [S] [O]	[A] service [S] good [O] great [SSEP] [A] dinner [S] good [O] great quality
we have gone for dinner only a few times but the same great quality and service is given . [S] [O] [A]	[S] good [O] great [A] service [SSEP] [S] good [O] great quality [A] dinner
bukhara is on my top 5 indian places in nyc [O] [A] [S]	[O] top [A] bukhara [S] good
bukhara is on my top 5 indian places in nyc [A] [O] [S]	[A] bukhara [O] top [S] good
bukhara is on my top 5 indian places in nyc [O] [S] [A]	[O] top [S] good [A] bukhara
bukhara is on my top 5 indian places in nyc [A] [S] [O]	[A] bukhara [S] good [O] top
bukhara is on my top 5 indian places in nyc [S] [O] [A]	[S] good [O] top [A] bukhara
i have never been so disgusted by both food an service . [O] [A] [S]	[O] disgusted [A] food [S] bad [SSEP] [O] disgusted [A] service [S] bad
i have never been so disgusted by both food an service . [A] [O] [S]	[A] food [O] disgusted [S] bad [SSEP] [A] service [O] disgusted [S] bad
i have never been so disgusted by both food an service . [O] [S] [A]	[O] disgusted [S] bad [A] food [SSEP] [O] disgusted [S] bad [A] service
i have never been so disgusted by both food an service . [A] [S] [O]	[A] food [S] bad [O] disgusted [SSEP] [A] service [S] bad [O] disgusted
i have never been so disgusted by both food an service . [S] [O] [A]	[S] bad [O] disgusted [A] food [SSEP] [S] bad [O] disgusted [A] service
however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it 's your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin . [O] [A] [S]	[O] disgusting [A] kimchee [S] bad [SSEP] [O] mediocre [A] korean fair [S] bad
however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it 's your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin . [A] [O] [S]	[A] kimchee [O] disgusting [S] bad [SSEP] [A] korean fair [O] mediocre [S] bad
however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it 's your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin . [O] [S] [A]	[O] disgusting [S] bad [A] kimchee [SSEP] [O] mediocre [S] bad [A] korean fair
however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it 's your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin . [A] [S] [O]	[A] kimchee [S] bad [O] disgusting [SSEP] [A] korean fair [S] bad [O] mediocre
however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it 's your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin . [S] [O] [A]	[S] bad [O] disgusting [A] kimchee [SSEP] [S] bad [O] mediocre [A] korean fair
my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant . [O] [A] [S]	[O] disgusted [A] meal [S] bad
my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant . [A] [O] [S]	[A] meal [O] disgusted [S] bad
my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant . [O] [S] [A]	[O] disgusted [S] bad [A] meal
my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant . [A] [S] [O]	[A] meal [S] bad [O] disgusted
my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant . [S] [O] [A]	[S] bad [O] disgusted [A] meal
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . [O] [A] [S]	[O] enjoyed [A] four course prix fix menu [S] good [SSEP] [O] gorgeous [A] white organza tent [S] good
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . [A] [O] [S]	[A] four course prix fix menu [O] enjoyed [S] good [SSEP] [A] white organza tent [O] gorgeous [S] good
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . [O] [S] [A]	[O] enjoyed [S] good [A] four course prix fix menu [SSEP] [O] gorgeous [S] good [A] white organza tent
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . [A] [S] [O]	[A] four course prix fix menu [S] good [O] enjoyed [SSEP] [A] white organza tent [S] good [O] gorgeous
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot . [S] [O] [A]	[S] good [O] enjoyed [A] four course prix fix menu [SSEP] [S] good [O] gorgeous [A] white organza tent
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! [O] [A] [S]	[O] spectacular [A] service [S] good [SSEP] [O] amazing [A] waiter [S] good
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! [A] [O] [S]	[A] service [O] spectacular [S] good [SSEP] [A] waiter [O] amazing [S] good
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! [O] [S] [A]	[O] spectacular [S] good [A] service [SSEP] [O] amazing [S] good [A] waiter
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! [A] [S] [O]	[A] service [S] good [O] spectacular [SSEP] [A] waiter [S] good [O] amazing
the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing ! [S] [O] [A]	[S] good [O] spectacular [A] service [SSEP] [S] good [O] amazing [A] waiter
i completely recommend casa la femme for any special occasion and to really impress your date . [O] [A] [S]	[O] recommend [A] casa la femme [S] good
i completely recommend casa la femme for any special occasion and to really impress your date . [A] [O] [S]	[A] casa la femme [O] recommend [S] good
i completely recommend casa la femme for any special occasion and to really impress your date . [O] [S] [A]	[O] recommend [S] good [A] casa la femme
i completely recommend casa la femme for any special occasion and to really impress your date . [A] [S] [O]	[A] casa la femme [S] good [O] recommend
i completely recommend casa la femme for any special occasion and to really impress your date . [S] [O] [A]	[S] good [O] recommend [A] casa la femme
the bibimbap was average , but the stone bowl was n't even close to sizzling . [O] [A] [S]	[O] average [A] bibimbap [S] ok [SSEP] [O] was n't even close to sizzling [A] stone bowl [S] bad
the bibimbap was average , but the stone bowl was n't even close to sizzling . [A] [O] [S]	[A] bibimbap [O] average [S] ok [SSEP] [A] stone bowl [O] was n't even close to sizzling [S] bad
the bibimbap was average , but the stone bowl was n't even close to sizzling . [O] [S] [A]	[O] average [S] ok [A] bibimbap [SSEP] [O] was n't even close to sizzling [S] bad [A] stone bowl
the bibimbap was average , but the stone bowl was n't even close to sizzling . [A] [S] [O]	[A] bibimbap [S] ok [O] average [SSEP] [A] stone bowl [S] bad [O] was n't even close to sizzling
the bibimbap was average , but the stone bowl was n't even close to sizzling . [S] [O] [A]	[S] ok [O] average [A] bibimbap [SSEP] [S] bad [O] was n't even close to sizzling [A] stone bowl
too bad i had paid an extra $ 2 for the stone bowl . [O] [A] [S]	[O] bad [A] stone bowl [S] bad
too bad i had paid an extra $ 2 for the stone bowl . [A] [O] [S]	[A] stone bowl [O] bad [S] bad
too bad i had paid an extra $ 2 for the stone bowl . [O] [S] [A]	[O] bad [S] bad [A] stone bowl
too bad i had paid an extra $ 2 for the stone bowl . [A] [S] [O]	[A] stone bowl [S] bad [O] bad
too bad i had paid an extra $ 2 for the stone bowl . [S] [O] [A]	[S] bad [O] bad [A] stone bowl
easily the worst stir-fried squid i 've ever tasted . [O] [A] [S]	[O] worst [A] stir-fried squid [S] bad
easily the worst stir-fried squid i 've ever tasted . [A] [O] [S]	[A] stir-fried squid [O] worst [S] bad
easily the worst stir-fried squid i 've ever tasted . [O] [S] [A]	[O] worst [S] bad [A] stir-fried squid
easily the worst stir-fried squid i 've ever tasted . [A] [S] [O]	[A] stir-fried squid [S] bad [O] worst
easily the worst stir-fried squid i 've ever tasted . [S] [O] [A]	[S] bad [O] worst [A] stir-fried squid
the real problem i had with this place was the complete lack of service . [O] [A] [S]	[O] lack of [A] service [S] bad
the real problem i had with this place was the complete lack of service . [A] [O] [S]	[A] service [O] lack of [S] bad
the real problem i had with this place was the complete lack of service . [O] [S] [A]	[O] lack of [S] bad [A] service
the real problem i had with this place was the complete lack of service . [A] [S] [O]	[A] service [S] bad [O] lack of
the real problem i had with this place was the complete lack of service . [S] [O] [A]	[S] bad [O] lack of [A] service
the farro salad and the mashed yukon potatoes were also extremely tasty . [O] [A] [S]	[O] tasty [A] farro salad [S] good [SSEP] [O] tasty [A] mashed yukon potatoes [S] good
the farro salad and the mashed yukon potatoes were also extremely tasty . [A] [O] [S]	[A] farro salad [O] tasty [S] good [SSEP] [A] mashed yukon potatoes [O] tasty [S] good
the farro salad and the mashed yukon potatoes were also extremely tasty . [O] [S] [A]	[O] tasty [S] good [A] farro salad [SSEP] [O] tasty [S] good [A] mashed yukon potatoes
the farro salad and the mashed yukon potatoes were also extremely tasty . [A] [S] [O]	[A] farro salad [S] good [O] tasty [SSEP] [A] mashed yukon potatoes [S] good [O] tasty
the farro salad and the mashed yukon potatoes were also extremely tasty . [S] [O] [A]	[S] good [O] tasty [A] farro salad [SSEP] [S] good [O] tasty [A] mashed yukon potatoes
i love margherita pizza – i looove east village pizza [O] [A] [S]	[O] love [A] east village pizza [S] good [SSEP] [O] looove [A] margherita pizza [S] good
i love margherita pizza – i looove east village pizza [A] [O] [S]	[A] east village pizza [O] love [S] good [SSEP] [A] margherita pizza [O] looove [S] good
i love margherita pizza – i looove east village pizza [O] [S] [A]	[O] love [S] good [A] east village pizza [SSEP] [O] looove [S] good [A] margherita pizza
i love margherita pizza – i looove east village pizza [A] [S] [O]	[A] east village pizza [S] good [O] love [SSEP] [A] margherita pizza [S] good [O] looove
i love margherita pizza – i looove east village pizza [S] [O] [A]	[S] good [O] love [A] east village pizza [SSEP] [S] good [O] looove [A] margherita pizza
love this place , every time we are in the city this is one of the places we always go . [O] [A] [S]	[O] love [A] place [S] good
love this place , every time we are in the city this is one of the places we always go . [A] [O] [S]	[A] place [O] love [S] good
love this place , every time we are in the city this is one of the places we always go . [O] [S] [A]	[O] love [S] good [A] place
love this place , every time we are in the city this is one of the places we always go . [A] [S] [O]	[A] place [S] good [O] love
love this place , every time we are in the city this is one of the places we always go . [S] [O] [A]	[S] good [O] love [A] place
a quintessential slice of nyc pizza . [O] [A] [S]	[O] quintessential [A] slice of nyc pizza [S] ok
a quintessential slice of nyc pizza . [A] [O] [S]	[A] slice of nyc pizza [O] quintessential [S] ok
a quintessential slice of nyc pizza . [O] [S] [A]	[O] quintessential [S] ok [A] slice of nyc pizza
a quintessential slice of nyc pizza . [A] [S] [O]	[A] slice of nyc pizza [S] ok [O] quintessential
a quintessential slice of nyc pizza . [S] [O] [A]	[S] ok [O] quintessential [A] slice of nyc pizza
personally i like the margherita pizza better , but they are all good . [O] [A] [S]	[O] like [A] margherita pizza [S] good
personally i like the margherita pizza better , but they are all good . [A] [O] [S]	[A] margherita pizza [O] like [S] good
personally i like the margherita pizza better , but they are all good . [O] [S] [A]	[O] like [S] good [A] margherita pizza
personally i like the margherita pizza better , but they are all good . [A] [S] [O]	[A] margherita pizza [S] good [O] like
personally i like the margherita pizza better , but they are all good . [S] [O] [A]	[S] good [O] like [A] margherita pizza
possibly the most romantic restaurant in the city [O] [A] [S]	[O] romantic [A] restaurant [S] good
possibly the most romantic restaurant in the city [A] [O] [S]	[A] restaurant [O] romantic [S] good
possibly the most romantic restaurant in the city [O] [S] [A]	[O] romantic [S] good [A] restaurant
possibly the most romantic restaurant in the city [A] [S] [O]	[A] restaurant [S] good [O] romantic
possibly the most romantic restaurant in the city [S] [O] [A]	[S] good [O] romantic [A] restaurant
this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! [O] [A] [S]	[O] favorite [A] modern japanese brasserie [S] good [SSEP] [O] romantic [A] modern japanese brasserie [S] good
this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! [A] [O] [S]	[A] modern japanese brasserie [O] favorite [S] good [SSEP] [A] modern japanese brasserie [O] romantic [S] good
this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! [O] [S] [A]	[O] favorite [S] good [A] modern japanese brasserie [SSEP] [O] romantic [S] good [A] modern japanese brasserie
this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! [A] [S] [O]	[A] modern japanese brasserie [S] good [O] favorite [SSEP] [A] modern japanese brasserie [S] good [O] romantic
this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city ! [S] [O] [A]	[S] good [O] favorite [A] modern japanese brasserie [SSEP] [S] good [O] romantic [A] modern japanese brasserie
not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . [O] [A] [S]	[O] hidden [A] spot [S] ok [SSEP] [O] intimate [A] décor [S] good
not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . [A] [O] [S]	[A] spot [O] hidden [S] ok [SSEP] [A] décor [O] intimate [S] good
not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . [O] [S] [A]	[O] hidden [S] ok [A] spot [SSEP] [O] intimate [S] good [A] décor
not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . [A] [S] [O]	[A] spot [S] ok [O] hidden [SSEP] [A] décor [S] good [O] intimate
not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate décor will make you feel like you ’ re no longer in the city . [S] [O] [A]	[S] ok [O] hidden [A] spot [SSEP] [S] good [O] intimate [A] décor
if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . [O] [A] [S]	[O] ushered [A] private booths [S] good
if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . [A] [O] [S]	[A] private booths [O] ushered [S] good
if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . [O] [S] [A]	[O] ushered [S] good [A] private booths
if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . [A] [S] [O]	[A] private booths [S] good [O] ushered
if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) . [S] [O] [A]	[S] good [O] ushered [A] private booths
we started off with a delightful sashimi amuse bouche . [O] [A] [S]	[O] delightful [A] sashimi amuse bouche [S] good
we started off with a delightful sashimi amuse bouche . [A] [O] [S]	[A] sashimi amuse bouche [O] delightful [S] good
we started off with a delightful sashimi amuse bouche . [O] [S] [A]	[O] delightful [S] good [A] sashimi amuse bouche
we started off with a delightful sashimi amuse bouche . [A] [S] [O]	[A] sashimi amuse bouche [S] good [O] delightful
we started off with a delightful sashimi amuse bouche . [S] [O] [A]	[S] good [O] delightful [A] sashimi amuse bouche
for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . [O] [A] [S]	[O] interesting [A] frozen black sesame mousse [S] ok [SSEP] [O] extraordinary [A] frozen black sesame mousse [S] ok [SSEP] [O] phenomenal [A] matcha ( powdered green tea ) and blueberry cheesecake [S] good
for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . [A] [O] [S]	[A] frozen black sesame mousse [O] interesting [S] ok [SSEP] [A] frozen black sesame mousse [O] extraordinary [S] ok [SSEP] [A] matcha ( powdered green tea ) and blueberry cheesecake [O] phenomenal [S] good
for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . [O] [S] [A]	[O] interesting [S] ok [A] frozen black sesame mousse [SSEP] [O] extraordinary [S] ok [A] frozen black sesame mousse [SSEP] [O] phenomenal [S] good [A] matcha ( powdered green tea ) and blueberry cheesecake
for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . [A] [S] [O]	[A] frozen black sesame mousse [S] ok [O] interesting [SSEP] [A] frozen black sesame mousse [S] ok [O] extraordinary [SSEP] [A] matcha ( powdered green tea ) and blueberry cheesecake [S] good [O] phenomenal
for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal . [S] [O] [A]	[S] ok [O] interesting [A] frozen black sesame mousse [SSEP] [S] ok [O] extraordinary [A] frozen black sesame mousse [SSEP] [S] good [O] phenomenal [A] matcha ( powdered green tea ) and blueberry cheesecake
maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ’ t say enough good things about this brasserie . [O] [A] [S]	[O] good [A] brasserie [S] good
maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ’ t say enough good things about this brasserie . [A] [O] [S]	[A] brasserie [O] good [S] good
maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ’ t say enough good things about this brasserie . [O] [S] [A]	[O] good [S] good [A] brasserie
maybe it was the great company ( i had friends visiting from philly – yes , it was not a date this time ) or the super reasonable price point , but i just can ’ t say enough good things about this brasserie . [A] [S] [O]	[A] brasserie [S] good [O] good
