but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken . [S] [O] [A]	[S] bad [O] no [A] waiting area [SSEP] [S] bad [O] all taken [A] seat [SSEP] [S] ok [O] small [A] bar
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish . [O] [A] [S]	[O] spicy [A] food [S] bad [SSEP] [O] barely [A] dish [S] bad [SSEP] [O] took away [A] spice [S] bad
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish . [O] [S] [A]	[O] spicy [S] bad [A] food [SSEP] [O] barely [S] bad [A] dish [SSEP] [O] took away [S] bad [A] spice
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish . [A] [O] [S]	[A] food [O] spicy [S] bad [SSEP] [A] dish [O] barely [S] bad [SSEP] [A] spice [O] took away [S] bad
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish . [A] [S] [O]	[A] food [S] bad [O] spicy [SSEP] [A] dish [S] bad [O] barely [SSEP] [A] spice [S] bad [O] took away
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish . [S] [O] [A]	[S] bad [O] spicy [A] food [SSEP] [S] bad [O] barely [A] dish [SSEP] [S] bad [O] took away [A] spice
the fried dumplings are great ! [O] [A] [S]	[O] great [A] fried dumplings [S] good
the fried dumplings are great ! [O] [S] [A]	[O] great [S] good [A] fried dumplings
the fried dumplings are great ! [A] [O] [S]	[A] fried dumplings [O] great [S] good
the fried dumplings are great ! [A] [S] [O]	[A] fried dumplings [S] good [O] great
the fried dumplings are great ! [S] [O] [A]	[S] good [O] great [A] fried dumplings
we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent . [O] [A] [S]	[O] large [A] pelligrino [S] good [SSEP] [O] excellent [A] goat cheese [S] good [SSEP] [O] excellent [A] blue cheese [S] good
we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent . [O] [S] [A]	[O] large [S] good [A] pelligrino [SSEP] [O] excellent [S] good [A] goat cheese [SSEP] [O] excellent [S] good [A] blue cheese
we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent . [A] [O] [S]	[A] pelligrino [O] large [S] good [SSEP] [A] goat cheese [O] excellent [S] good [SSEP] [A] blue cheese [O] excellent [S] good
we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent . [A] [S] [O]	[A] pelligrino [S] good [O] large [SSEP] [A] goat cheese [S] good [O] excellent [SSEP] [A] blue cheese [S] good [O] excellent
we figured we never had argentinian pizza before so we grabbed our lunch there , sharing a large pelligrino , a pizza of two of their specials , one was goat cheese the other blue cheese , and both were excellent . [S] [O] [A]	[S] good [O] large [A] pelligrino [SSEP] [S] good [O] excellent [A] goat cheese [SSEP] [S] good [O] excellent [A] blue cheese
the ' kamasutra ' and ' bombay cosmopolitan ' are excellent and will have you tipsy in no time . [O] [A] [S]	[O] excellent [A] kamasutra [S] good [SSEP] [O] excellent [A] bombay cosmopolitan [S] good
the ' kamasutra ' and ' bombay cosmopolitan ' are excellent and will have you tipsy in no time . [O] [S] [A]	[O] excellent [S] good [A] kamasutra [SSEP] [O] excellent [S] good [A] bombay cosmopolitan
the ' kamasutra ' and ' bombay cosmopolitan ' are excellent and will have you tipsy in no time . [A] [O] [S]	[A] kamasutra [O] excellent [S] good [SSEP] [A] bombay cosmopolitan [O] excellent [S] good
the ' kamasutra ' and ' bombay cosmopolitan ' are excellent and will have you tipsy in no time . [A] [S] [O]	[A] kamasutra [S] good [O] excellent [SSEP] [A] bombay cosmopolitan [S] good [O] excellent
the ' kamasutra ' and ' bombay cosmopolitan ' are excellent and will have you tipsy in no time . [S] [O] [A]	[S] good [O] excellent [A] kamasutra [SSEP] [S] good [O] excellent [A] bombay cosmopolitan
this is the perfect date spot for williamsburg couples . [O] [A] [S]	[O] perfect [A] date spot [S] good
this is the perfect date spot for williamsburg couples . [O] [S] [A]	[O] perfect [S] good [A] date spot
this is the perfect date spot for williamsburg couples . [A] [O] [S]	[A] date spot [O] perfect [S] good
this is the perfect date spot for williamsburg couples . [A] [S] [O]	[A] date spot [S] good [O] perfect
this is the perfect date spot for williamsburg couples . [S] [O] [A]	[S] good [O] perfect [A] date spot
the dim sum here is only so-so . [O] [A] [S]	[O] so-so [A] dim sum [S] ok
the dim sum here is only so-so . [O] [S] [A]	[O] so-so [S] ok [A] dim sum
the dim sum here is only so-so . [A] [O] [S]	[A] dim sum [O] so-so [S] ok
the dim sum here is only so-so . [A] [S] [O]	[A] dim sum [S] ok [O] so-so
the dim sum here is only so-so . [S] [O] [A]	[S] ok [O] so-so [A] dim sum
service was slow , but the people were friendly . [O] [A] [S]	[O] slow [A] service [S] bad [SSEP] [O] friendly [A] people [S] good
service was slow , but the people were friendly . [O] [S] [A]	[O] slow [S] bad [A] service [SSEP] [O] friendly [S] good [A] people
service was slow , but the people were friendly . [A] [O] [S]	[A] service [O] slow [S] bad [SSEP] [A] people [O] friendly [S] good
service was slow , but the people were friendly . [A] [S] [O]	[A] service [S] bad [O] slow [SSEP] [A] people [S] good [O] friendly
service was slow , but the people were friendly . [S] [O] [A]	[S] bad [O] slow [A] service [SSEP] [S] good [O] friendly [A] people
the steak was very fatty and the sauce was overpowering and not very tasty . [O] [A] [S]	[O] fatty [A] steak [S] bad [SSEP] [O] overpowering [A] sauce [S] bad [SSEP] [O] not very tasty [A] sauce [S] bad
the steak was very fatty and the sauce was overpowering and not very tasty . [O] [S] [A]	[O] fatty [S] bad [A] steak [SSEP] [O] overpowering [S] bad [A] sauce [SSEP] [O] not very tasty [S] bad [A] sauce
the steak was very fatty and the sauce was overpowering and not very tasty . [A] [O] [S]	[A] steak [O] fatty [S] bad [SSEP] [A] sauce [O] overpowering [S] bad [SSEP] [A] sauce [O] not very tasty [S] bad
the steak was very fatty and the sauce was overpowering and not very tasty . [A] [S] [O]	[A] steak [S] bad [O] fatty [SSEP] [A] sauce [S] bad [O] overpowering [SSEP] [A] sauce [S] bad [O] not very tasty
the steak was very fatty and the sauce was overpowering and not very tasty . [S] [O] [A]	[S] bad [O] fatty [A] steak [SSEP] [S] bad [O] overpowering [A] sauce [SSEP] [S] bad [O] not very tasty [A] sauce
the staff makes you feel at home , the food is great and the atmosphere is wonderful ! [O] [A] [S]	[O] great [A] staff [S] good [SSEP] [O] great [A] food [S] good [SSEP] [O] great [A] atmosphere [S] good
the staff makes you feel at home , the food is great and the atmosphere is wonderful ! [O] [S] [A]	[O] great [S] good [A] staff [SSEP] [O] great [S] good [A] food [SSEP] [O] great [S] good [A] atmosphere
the staff makes you feel at home , the food is great and the atmosphere is wonderful ! [A] [O] [S]	[A] staff [O] great [S] good [SSEP] [A] food [O] great [S] good [SSEP] [A] atmosphere [O] great [S] good
the staff makes you feel at home , the food is great and the atmosphere is wonderful ! [A] [S] [O]	[A] staff [S] good [O] great [SSEP] [A] food [S] good [O] great [SSEP] [A] atmosphere [S] good [O] great
the staff makes you feel at home , the food is great and the atmosphere is wonderful ! [S] [O] [A]	[S] good [O] great [A] staff [SSEP] [S] good [O] great [A] food [SSEP] [S] good [O] great [A] atmosphere
the food is alright - some stuff is good - some is not ( like the steak dish which tends to be dry ) . [O] [A] [S]	[O] dry [A] steak dish [S] bad
the food is alright - some stuff is good - some is not ( like the steak dish which tends to be dry ) . [O] [S] [A]	[O] dry [S] bad [A] steak dish
the food is alright - some stuff is good - some is not ( like the steak dish which tends to be dry ) . [A] [O] [S]	[A] steak dish [O] dry [S] bad
the food is alright - some stuff is good - some is not ( like the steak dish which tends to be dry ) . [A] [S] [O]	[A] steak dish [S] bad [O] dry
the food is alright - some stuff is good - some is not ( like the steak dish which tends to be dry ) . [S] [O] [A]	[S] bad [O] dry [A] steak dish
they have a very diverse menu so its something for everybody . [O] [A] [S]	[O] diverse [A] menu [S] good
they have a very diverse menu so its something for everybody . [O] [S] [A]	[O] diverse [S] good [A] menu
they have a very diverse menu so its something for everybody . [A] [O] [S]	[A] menu [O] diverse [S] good
they have a very diverse menu so its something for everybody . [A] [S] [O]	[A] menu [S] good [O] diverse
they have a very diverse menu so its something for everybody . [S] [O] [A]	[S] good [O] diverse [A] menu
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check . [O] [A] [S]	[O] busy [A] staff [S] bad
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check . [O] [S] [A]	[O] busy [S] bad [A] staff
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check . [A] [O] [S]	[A] staff [O] busy [S] bad
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check . [A] [S] [O]	[A] staff [S] bad [O] busy
the staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check . [S] [O] [A]	[S] bad [O] busy [A] staff
the bagel was huge . [O] [A] [S]	[O] huge [A] bagel [S] ok
the bagel was huge . [O] [S] [A]	[O] huge [S] ok [A] bagel
the bagel was huge . [A] [O] [S]	[A] bagel [O] huge [S] ok
the bagel was huge . [A] [S] [O]	[A] bagel [S] ok [O] huge
the bagel was huge . [S] [O] [A]	[S] ok [O] huge [A] bagel
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often . [O] [A] [S]	[O] needs to be cleaned [A] bathroom [S] bad
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often . [O] [S] [A]	[O] needs to be cleaned [S] bad [A] bathroom
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often . [A] [O] [S]	[A] bathroom [O] needs to be cleaned [S] bad
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often . [A] [S] [O]	[A] bathroom [S] bad [O] needs to be cleaned
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often . [S] [O] [A]	[S] bad [O] needs to be cleaned [A] bathroom
the service was the only thing good about this restaurant . [O] [A] [S]	[O] good [A] service [S] good
the service was the only thing good about this restaurant . [O] [S] [A]	[O] good [S] good [A] service
the service was the only thing good about this restaurant . [A] [O] [S]	[A] service [O] good [S] good
the service was the only thing good about this restaurant . [A] [S] [O]	[A] service [S] good [O] good
the service was the only thing good about this restaurant . [S] [O] [A]	[S] good [O] good [A] service
service -- friendly and attentive . [O] [A] [S]	[O] friendly [A] service [S] good [SSEP] [O] attentive [A] service [S] good
service -- friendly and attentive . [O] [S] [A]	[O] friendly [S] good [A] service [SSEP] [O] attentive [S] good [A] service
service -- friendly and attentive . [A] [O] [S]	[A] service [O] friendly [S] good [SSEP] [A] service [O] attentive [S] good
service -- friendly and attentive . [A] [S] [O]	[A] service [S] good [O] friendly [SSEP] [A] service [S] good [O] attentive
service -- friendly and attentive . [S] [O] [A]	[S] good [O] friendly [A] service [SSEP] [S] good [O] attentive [A] service
great food , great decor , great service . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] great [A] decor [S] good [SSEP] [O] great [A] service [S] good
great food , great decor , great service . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] great [S] good [A] decor [SSEP] [O] great [S] good [A] service
great food , great decor , great service . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] decor [O] great [S] good [SSEP] [A] service [O] great [S] good
great food , great decor , great service . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] decor [S] good [O] great [SSEP] [A] service [S] good [O] great
great food , great decor , great service . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] great [A] decor [SSEP] [S] good [O] great [A] service
and , atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated . [O] [A] [S]	[O] larger [A] space [S] ok
and , atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated . [O] [S] [A]	[O] larger [S] ok [A] space
and , atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated . [A] [O] [S]	[A] space [O] larger [S] ok
and , atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated . [A] [S] [O]	[A] space [S] ok [O] larger
and , atlhough tables opened up next to us and we asked for a slightly larger space , they left us awkardly seated . [S] [O] [A]	[S] ok [O] larger [A] space
the palak paneer was standard , and i was not a fan of the malai kofta . [O] [A] [S]	[O] standard [A] palak paneer [S] ok
the palak paneer was standard , and i was not a fan of the malai kofta . [O] [S] [A]	[O] standard [S] ok [A] palak paneer
the palak paneer was standard , and i was not a fan of the malai kofta . [A] [O] [S]	[A] palak paneer [O] standard [S] ok
the palak paneer was standard , and i was not a fan of the malai kofta . [A] [S] [O]	[A] palak paneer [S] ok [O] standard
the palak paneer was standard , and i was not a fan of the malai kofta . [S] [O] [A]	[S] ok [O] standard [A] palak paneer
i 've dined at alain ducasse 's restaurant in monte carlo for half the price for the same excellent dining experience . [O] [A] [S]	[O] excellent [A] dining [S] good
i 've dined at alain ducasse 's restaurant in monte carlo for half the price for the same excellent dining experience . [O] [S] [A]	[O] excellent [S] good [A] dining
i 've dined at alain ducasse 's restaurant in monte carlo for half the price for the same excellent dining experience . [A] [O] [S]	[A] dining [O] excellent [S] good
i 've dined at alain ducasse 's restaurant in monte carlo for half the price for the same excellent dining experience . [A] [S] [O]	[A] dining [S] good [O] excellent
i 've dined at alain ducasse 's restaurant in monte carlo for half the price for the same excellent dining experience . [S] [O] [A]	[S] good [O] excellent [A] dining
there was no ambiance . [O] [A] [S]	[O] no [A] ambiance [S] bad
there was no ambiance . [O] [S] [A]	[O] no [S] bad [A] ambiance
there was no ambiance . [A] [O] [S]	[A] ambiance [O] no [S] bad
there was no ambiance . [A] [S] [O]	[A] ambiance [S] bad [O] no
there was no ambiance . [S] [O] [A]	[S] bad [O] no [A] ambiance
save your money and do n't waste your calories , go to margharita 's on washington street instead , they have amazing food and the best service . [O] [A] [S]	[O] amazing [A] food [S] good [SSEP] [O] best [A] service [S] good
save your money and do n't waste your calories , go to margharita 's on washington street instead , they have amazing food and the best service . [O] [S] [A]	[O] amazing [S] good [A] food [SSEP] [O] best [S] good [A] service
save your money and do n't waste your calories , go to margharita 's on washington street instead , they have amazing food and the best service . [A] [O] [S]	[A] food [O] amazing [S] good [SSEP] [A] service [O] best [S] good
save your money and do n't waste your calories , go to margharita 's on washington street instead , they have amazing food and the best service . [A] [S] [O]	[A] food [S] good [O] amazing [SSEP] [A] service [S] good [O] best
save your money and do n't waste your calories , go to margharita 's on washington street instead , they have amazing food and the best service . [S] [O] [A]	[S] good [O] amazing [A] food [SSEP] [S] good [O] best [A] service
the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever . [O] [A] [S]	[O] weird [A] waitress [S] bad
the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever . [O] [S] [A]	[O] weird [S] bad [A] waitress
the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever . [A] [O] [S]	[A] waitress [O] weird [S] bad
the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever . [A] [S] [O]	[A] waitress [S] bad [O] weird
the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever . [S] [O] [A]	[S] bad [O] weird [A] waitress
they sell special sushi , everything have a topping , sauce and etc . [O] [A] [S]	[O] special [A] sushi [S] good [SSEP] [O] special [A] sauce [S] good
they sell special sushi , everything have a topping , sauce and etc . [O] [S] [A]	[O] special [S] good [A] sushi [SSEP] [O] special [S] good [A] sauce
they sell special sushi , everything have a topping , sauce and etc . [A] [O] [S]	[A] sushi [O] special [S] good [SSEP] [A] sauce [O] special [S] good
they sell special sushi , everything have a topping , sauce and etc . [A] [S] [O]	[A] sushi [S] good [O] special [SSEP] [A] sauce [S] good [O] special
they sell special sushi , everything have a topping , sauce and etc . [S] [O] [A]	[S] good [O] special [A] sushi [SSEP] [S] good [O] special [A] sauce
the place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] small [A] place [S] bad [SSEP] [O] intimate [A] place [S] bad [SSEP] [O] crowded [A] place [S] bad
the place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] small [S] bad [A] place [SSEP] [O] intimate [S] bad [A] place [SSEP] [O] crowded [S] bad [A] place
the place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] place [O] small [S] bad [SSEP] [A] place [O] intimate [S] bad [SSEP] [A] place [O] crowded [S] bad
the place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] place [S] bad [O] small [SSEP] [A] place [S] bad [O] intimate [SSEP] [A] place [S] bad [O] crowded
the place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] bad [O] small [A] place [SSEP] [S] bad [O] intimate [A] place [SSEP] [S] bad [O] crowded [A] place
the service was excellent and the food was delicious . [O] [A] [S]	[O] excellent [A] service [S] good [SSEP] [O] delicious [A] food [S] good
the service was excellent and the food was delicious . [O] [S] [A]	[O] excellent [S] good [A] service [SSEP] [O] delicious [S] good [A] food
the service was excellent and the food was delicious . [A] [O] [S]	[A] service [O] excellent [S] good [SSEP] [A] food [O] delicious [S] good
the service was excellent and the food was delicious . [A] [S] [O]	[A] service [S] good [O] excellent [SSEP] [A] food [S] good [O] delicious
the service was excellent and the food was delicious . [S] [O] [A]	[S] good [O] excellent [A] service [SSEP] [S] good [O] delicious [A] food
service was also very good . [O] [A] [S]	[O] good [A] service [S] good
service was also very good . [O] [S] [A]	[O] good [S] good [A] service
service was also very good . [A] [O] [S]	[A] service [O] good [S] good
service was also very good . [A] [S] [O]	[A] service [S] good [O] good
service was also very good . [S] [O] [A]	[S] good [O] good [A] service
i took my girlfriend there for her birthday last night and we had a relaxing , really good meal . [O] [A] [S]	[O] relaxing [A] meal [S] good [SSEP] [O] good [A] meal [S] good
i took my girlfriend there for her birthday last night and we had a relaxing , really good meal . [O] [S] [A]	[O] relaxing [S] good [A] meal [SSEP] [O] good [S] good [A] meal
i took my girlfriend there for her birthday last night and we had a relaxing , really good meal . [A] [O] [S]	[A] meal [O] relaxing [S] good [SSEP] [A] meal [O] good [S] good
i took my girlfriend there for her birthday last night and we had a relaxing , really good meal . [A] [S] [O]	[A] meal [S] good [O] relaxing [SSEP] [A] meal [S] good [O] good
i took my girlfriend there for her birthday last night and we had a relaxing , really good meal . [S] [O] [A]	[S] good [O] relaxing [A] meal [SSEP] [S] good [O] good [A] meal
i 'm happy to have nosh in the neighborhood and the food is very comforting . [O] [A] [S]	[O] comforting [A] food [S] good
i 'm happy to have nosh in the neighborhood and the food is very comforting . [O] [S] [A]	[O] comforting [S] good [A] food
i 'm happy to have nosh in the neighborhood and the food is very comforting . [A] [O] [S]	[A] food [O] comforting [S] good
i 'm happy to have nosh in the neighborhood and the food is very comforting . [A] [S] [O]	[A] food [S] good [O] comforting
i 'm happy to have nosh in the neighborhood and the food is very comforting . [S] [O] [A]	[S] good [O] comforting [A] food
good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays . [O] [A] [S]	[O] good [A] atmosphere [S] good [SSEP] [O] hottest [A] music [S] good
good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays . [O] [S] [A]	[O] good [S] good [A] atmosphere [SSEP] [O] hottest [S] good [A] music
good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays . [A] [O] [S]	[A] atmosphere [O] good [S] good [SSEP] [A] music [O] hottest [S] good
good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays . [A] [S] [O]	[A] atmosphere [S] good [O] good [SSEP] [A] music [S] good [O] hottest
good atmosphere , combination of all the hottest music dress code is relatively strict except on fridays . [S] [O] [A]	[S] good [O] good [A] atmosphere [SSEP] [S] good [O] hottest [A] music
love the food . [O] [A] [S]	[O] love [A] food [S] good
love the food . [O] [S] [A]	[O] love [S] good [A] food
love the food . [A] [O] [S]	[A] food [O] love [S] good
love the food . [A] [S] [O]	[A] food [S] good [O] love
love the food . [S] [O] [A]	[S] good [O] love [A] food
i would highly recommend nina 's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures . [O] [A] [S]	[O] romantic [A] dinner [S] good [SSEP] [O] heart warming [A] surrounding [S] good
i would highly recommend nina 's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures . [O] [S] [A]	[O] romantic [S] good [A] dinner [SSEP] [O] heart warming [S] good [A] surrounding
i would highly recommend nina 's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures . [A] [O] [S]	[A] dinner [O] romantic [S] good [SSEP] [A] surrounding [O] heart warming [S] good
i would highly recommend nina 's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures . [A] [S] [O]	[A] dinner [S] good [O] romantic [SSEP] [A] surrounding [S] good [O] heart warming
i would highly recommend nina 's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures . [S] [O] [A]	[S] good [O] romantic [A] dinner [SSEP] [S] good [O] heart warming [A] surrounding
there 's something smooth about sipping sake upper east side style . [O] [A] [S]	[O] smooth [A] sake [S] good
there 's something smooth about sipping sake upper east side style . [O] [S] [A]	[O] smooth [S] good [A] sake
there 's something smooth about sipping sake upper east side style . [A] [O] [S]	[A] sake [O] smooth [S] good
there 's something smooth about sipping sake upper east side style . [A] [S] [O]	[A] sake [S] good [O] smooth
there 's something smooth about sipping sake upper east side style . [S] [O] [A]	[S] good [O] smooth [A] sake
it 's a nice place to relax and have conversation . [O] [A] [S]	[O] nice [A] place [S] good
it 's a nice place to relax and have conversation . [O] [S] [A]	[O] nice [S] good [A] place
it 's a nice place to relax and have conversation . [A] [O] [S]	[A] place [O] nice [S] good
it 's a nice place to relax and have conversation . [A] [S] [O]	[A] place [S] good [O] nice
it 's a nice place to relax and have conversation . [S] [O] [A]	[S] good [O] nice [A] place
best reuben sandwich ever ! [O] [A] [S]	[O] best [A] reuben sandwich [S] good
best reuben sandwich ever ! [O] [S] [A]	[O] best [S] good [A] reuben sandwich
best reuben sandwich ever ! [A] [O] [S]	[A] reuben sandwich [O] best [S] good
best reuben sandwich ever ! [A] [S] [O]	[A] reuben sandwich [S] good [O] best
best reuben sandwich ever ! [S] [O] [A]	[S] good [O] best [A] reuben sandwich
lucky strike is a great casual place to just grab a bite to eat . [O] [A] [S]	[O] great casual [A] place [S] good
lucky strike is a great casual place to just grab a bite to eat . [O] [S] [A]	[O] great casual [S] good [A] place
lucky strike is a great casual place to just grab a bite to eat . [A] [O] [S]	[A] place [O] great casual [S] good
lucky strike is a great casual place to just grab a bite to eat . [A] [S] [O]	[A] place [S] good [O] great casual
lucky strike is a great casual place to just grab a bite to eat . [S] [O] [A]	[S] good [O] great casual [A] place
going to volare is like going to your favorite aunt 's house for dinner , assuming that your aunt is a great italian cook . [O] [A] [S]	[O] great [A] dinner [S] ok
going to volare is like going to your favorite aunt 's house for dinner , assuming that your aunt is a great italian cook . [O] [S] [A]	[O] great [S] ok [A] dinner
going to volare is like going to your favorite aunt 's house for dinner , assuming that your aunt is a great italian cook . [A] [O] [S]	[A] dinner [O] great [S] ok
going to volare is like going to your favorite aunt 's house for dinner , assuming that your aunt is a great italian cook . [A] [S] [O]	[A] dinner [S] ok [O] great
going to volare is like going to your favorite aunt 's house for dinner , assuming that your aunt is a great italian cook . [S] [O] [A]	[S] ok [O] great [A] dinner
the sushi has been from average to below average , the wait service has always been subpar the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) . [O] [A] [S]	[O] below average [A] sushi [S] bad [SSEP] [O] subpar [A] wait service [S] bad [SSEP] [O] loud [A] area [S] bad
the sushi has been from average to below average , the wait service has always been subpar the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) . [O] [S] [A]	[O] below average [S] bad [A] sushi [SSEP] [O] subpar [S] bad [A] wait service [SSEP] [O] loud [S] bad [A] area
the sushi has been from average to below average , the wait service has always been subpar the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) . [A] [O] [S]	[A] sushi [O] below average [S] bad [SSEP] [A] wait service [O] subpar [S] bad [SSEP] [A] area [O] loud [S] bad
the sushi has been from average to below average , the wait service has always been subpar the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) . [A] [S] [O]	[A] sushi [S] bad [O] below average [SSEP] [A] wait service [S] bad [O] subpar [SSEP] [A] area [S] bad [O] loud
the sushi has been from average to below average , the wait service has always been subpar the atmosphere goes from nice to really irritating ( if you sit in the area beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ) . [S] [O] [A]	[S] bad [O] below average [A] sushi [SSEP] [S] bad [O] subpar [A] wait service [SSEP] [S] bad [O] loud [A] area
frites were delicious if a bit on the thick side . [O] [A] [S]	[O] delicious [A] frites [S] good
frites were delicious if a bit on the thick side . [O] [S] [A]	[O] delicious [S] good [A] frites
frites were delicious if a bit on the thick side . [A] [O] [S]	[A] frites [O] delicious [S] good
frites were delicious if a bit on the thick side . [A] [S] [O]	[A] frites [S] good [O] delicious
frites were delicious if a bit on the thick side . [S] [O] [A]	[S] good [O] delicious [A] frites
i would recommend putting your name down and then getting a drink at a local bar first though because of the wait time . [O] [A] [S]	[O] recommend [A] drink [S] ok [SSEP] [O] recommend [A] bar [S] ok
i would recommend putting your name down and then getting a drink at a local bar first though because of the wait time . [O] [S] [A]	[O] recommend [S] ok [A] drink [SSEP] [O] recommend [S] ok [A] bar
i would recommend putting your name down and then getting a drink at a local bar first though because of the wait time . [A] [O] [S]	[A] drink [O] recommend [S] ok [SSEP] [A] bar [O] recommend [S] ok
i would recommend putting your name down and then getting a drink at a local bar first though because of the wait time . [A] [S] [O]	[A] drink [S] ok [O] recommend [SSEP] [A] bar [S] ok [O] recommend
i would recommend putting your name down and then getting a drink at a local bar first though because of the wait time . [S] [O] [A]	[S] ok [O] recommend [A] drink [SSEP] [S] ok [O] recommend [A] bar
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [O] [A] [S]	[O] love [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [S] good
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [O] [S] [A]	[O] love [S] good [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [A] [O] [S]	[A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [O] love [S] good
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [A] [S] [O]	[A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork [S] good [O] love
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork . [S] [O] [A]	[S] good [O] love [A] egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork
